Passage,Key Phrase,Keyword 1,K1-1,K1-2,K1-3,K1-4,K1-5,K1-6,K1-7,K1-8,K1-9,K1-10,K1-11,K1-12,K1-13,K1-14,K1-15,K1-16,K1-17,K1-18,K1-19,K1-20,K1-21,K1-22,K1-23,Keyword 2,K2-1,K2-2,K2-3,K2-4,K2-5,K2-6,K2-7,K2-8,K2-9,K2-10,K2-11,K2-12,K2-13,K2-14,K2-15,K2-16,K2-17,K2-18,K2-19,K2-20,K2-21,K2-22,K2-23,K2-24,Keyword 3,K3-1,K3-2,K3-3,K3-4,K3-5,K3-6,K3-7,K3-8,K3-9,K3-10,K3-11,K3-12,K3-13,K3-14,K3-15,K3-16,K3-17,K3-18,K3-19,K3-20,K3-21,Keyword 4,K4-1,K4-2,K4-3,K4-4,K4-5,K4-6,K4-7,K4-8,K4-9,K4-10,K4-11,K4-12,K4-13,K4-14,K4-15,Keyword 5,K5-1,K5-2,K5-3,K5-4,K5-5,K5-6,K5-7,K5-8,K5-9,Keyword 6,K6-1,K6-2,K6-3,K6-4,K6-5,K6-6,K6-7,K6-8,K6-9,Keyword 7,K7-1,K7-2,K7-3,K7-4,K7-5,K7-6,K7-7,K7-8,K7-9,Keyword 8,K8-1,K8-2,K8-3,K8-4,K8-5,K8-6,K8-7,K8-8,K8-9,Keyword 9,K9-1,K9-2,K9-3,K9-4,K9-5,K9-6,K9-7,K9-8,K9-9,Keyword 10,K10-1,K10-2,K10-3,K10-4,K10-5,K10-6,K10-7,K10-8,K10-9,K10-10
Managerial Decision Making,A null hypothesis allows the researcher to reject the rejection region,reject,,,,,,,,,,,,,,,,,,,,,,,,null,H0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Hypothesis testing is a statistical procedure to corroborate a conjecture using a test statistic,hypothesis test,,,,,,,,,,,,,,,,,,,,,,,,conjectur,predict,hypothes,guess,estimat,,,,,,,,,,,,,,,,,,,,,test stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A test statistic is used in order to perform a test with a given significance level,test stat,,,,,,,,,,,,,,,,,,,,,,,,significan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A test statistic once carried out will have an implicit P-value,test stat,,,,,,,,,,,,,,,,,,,,,,,,p-val,p val,pval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A test statistic depends on sample size,test stat,,,,,,,,,,,,,,,,,,,,,,,,size,sampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A test statistic e.g. student t-test,test stat,,,,,,,,,,,,,,,,,,,,,,,,t-test,t test,ttest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A test statistic e.g. chi-square test,test stat,,,,,,,,,,,,,,,,,,,,,,,,chi,sq,Breusch and Pagan,x^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A test statistic e.g. F-test,test stat,,,,,,,,,,,,,,,,,,,,,,,,F-test,f test,ftest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Student t-test e.g. one-side tests,t-test,t test,ttest,,,,,,,,,,,,,,,,,,,,,,one,1,,,,,,,,,,,,,,,,,,,,,,,,side,tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Student t-test e.g. two-side tests,t-test,t test,ttest,,,,,,,,,,,,,,,,,,,,,,two,2,,,,,,,,,,,,,,,,,,,,,,,,side,tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,One-side tests can be used to test the population mean,one,1,,,,,,,,,,,,,,,,,,,,,,,side,tail,,,,,,,,,,,,,,,,,,,,,,,,popul,,,,,,,,,,,,,,,,,,,,,,mean,averag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Two-side tests can be used to test the population mean,two,2,,,,,,,,,,,,,,,,,,,,,,,side,tail,,,,,,,,,,,,,,,,,,,,,,,,popul,,,,,,,,,,,,,,,,,,,,,,mean,averag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,P-value is related to type I and type II errors,p-val,p val,pval,,,,,,,,,,,,,,,,,,,,,,type,alpha,beta,FALSE,positive,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Type I and type II errors define statistical significance,type,alpha,beta,FALSE,positive,negative,,,,,,,,,,,,,,,,,,,significa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Significance level is defined by the rejection region,significa,,,,,,,,,,,,,,,,,,,,,,,,reject,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Significance level is related to type I and type II errors,significa,,,,,,,,,,,,,,,,,,,,,,,,type,alpha,beta,FALSE,positive,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,The rejection region is bounded by the critical value,reject,RR,,,,,,,,,,,,,,,,,,,,,,,critical,CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Regression analysis studies relationships among quantitative and qualitative variables,regress,,,,,,,,,,,,,,,,,,,,,,,,relat,associat,link,corr,connect,inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Quantitative and qualitative variables can have a linear relationship,variable,,,,,,,,,,,,,,,,,,,,,,,,line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Quantitative and qualitative variables can have a nonlinear relationship,variable,,,,,,,,,,,,,,,,,,,,,,,,nonlinear,non-linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A linear relationship could be a simple regression model,line,,,,,,,,,,,,,,,,,,,,,,,,simple regress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A linear relationship could be a multiple linear regression model,line,,,,,,,,,,,,,,,,,,,,,,,,multiple line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A nonlinear relationship could be a simple regression model,nonlinear,non-linear,,,,,,,,,,,,,,,,,,,,,,,simple regress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A nonlinear relationship could be a multiple linear regression model,nonlinear,non-linear,,,,,,,,,,,,,,,,,,,,,,,multiple line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Diagnostic tests check for statistical significance,diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,significa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Diagnostic tests check for randomness of error term,diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Diagnostic tests check for misspecification,diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,specifica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Statistical significance is checked with the t-test,significa,,,,,,,,,,,,,,,,,,,,,,,,t-test,t test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Statistical significance is checked with the f-test,significa,,,,,,,,,,,,,,,,,,,,,,,,f-test,f test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,The f-test allows to verify linear restrictions,f-test,f test,,,,,,,,,,,,,,,,,,,,,,,line,,,,,,,,,,,,,,,,,,,,,,,,,restrict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Randomness for error term can be violated due to autocorrelation,random,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,,,,,autocorrelat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Randomness for error term can be violated due to heteroscedasticity,random,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,,,,,heteroscedastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Autocorrelation is checked with the Durbin-Watson test,autocorrelat,,,,,,,,,,,,,,,,,,,,,,,,Durbin-Watson,Durbin Watson,Durbin and Watson,Durbin & Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Autocorrelation is checked with the h-test,autocorrelat,,,,,,,,,,,,,,,,,,,,,,,,h-test,h test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Heteroscedasticity is checked with the Goldfeld-Quandt test,heteroscedastic,,,,,,,,,,,,,,,,,,,,,,,,Goldfeld-Quandt,Goldfeld Quandt,Goldfeld and Quandt,Goldfeld & Quandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Heteroscedasticity is checked with the Breusch-Pagan test,heteroscedastic,,,,,,,,,,,,,,,,,,,,,,,,Breusch-Pagan,Bruesch Pagan,Bruesch and Pagan,Bruesch & Pagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Randomness of error term can be checked with the Runs test,random,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,,,,,run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Randomness of error term can be checked with chi-square tests,random,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,,,,,chi-square,chi square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Misspecification can be detected through lack of randomness of error term,specifica,,,,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Misspecification can be caused by irrelevant variables,specifica,,,,,,,,,,,,,,,,,,,,,,,,irrelevant,superfluous,extraneous,unnecessary,unrelated,inapplicable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Misspecification can be caused by incorrect functional form,specifica,,,,,,,,,,,,,,,,,,,,,,,,incorrect,wrong,,,,,,,,,,,,,,,,,,,,,,,,functional form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Irrelevant variables that are not significant can be a symptom of multicollinearity,irrelevant,superfluous,extraneous,unnecessary,unrelated,inapplicable ,,,,,,,,,,,,,,,,,,,variable,,,,,,,,,,,,,,,,,,,,,,,,,multicollinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A simple linear regression model summarizes the relationship between two variables,linear regress,,,,,,,,,,,,,,,,,,,,,,,,relation,connect,correlat,link,inter,concur,associat,compar,,,,,,,,,,,,,,,,,,two ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A simple linear regression model is represented by a regression equation,linear regress,,,,,,,,,,,,,,,,,,,,,,,,regression equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A simple linear regression model allows for the estimation of parameters,linear regress,,,,,,,,,,,,,,,,,,,,,,,,estimat,forecast,predict,anticipat,infer,expect,project,approx,evaluat,assess,gaug,measur,extrapolat,,,,,,,,,,,,,parameter,specific,measure,guideline,criteri,framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Variables are combined in a regression equation,variable,,,,,,,,,,,,,,,,,,,,,,,,regression equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A regression equation is evaluated through diagnostic tests,regression equation,,,,,,,,,,,,,,,,,,,,,,,,diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A regression equation has a systematic component,regression equation,,,,,,,,,,,,,,,,,,,,,,,,systematic component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A regression equation has an error term (or unsystematic component),regression equation,,,,,,,,,,,,,,,,,,,,,,,,error term,unsystematic component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Parameters are unknown and estimated through a regression equation,parameter,specific,measure,guideline,criteri,framework,,,,,,,,,,,,,,,,,,,estimat,forecast,predict,anticipat,infer,expect,project,approx,evaluat,assess,gaug,measur,extrapolat,,,,,,,,,,,,,regression equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A regression equation can be used in forecasting,regression equation,,,,,,,,,,,,,,,,,,,,,,,,forecast,predict,anticipat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,A regression equation can be used in analysis of parameters,regression equation,,,,,,,,,,,,,,,,,,,,,,,,analy,calculat,quanti,eval,assess,exam,investig,,,,,,,,,,,,,,,,,,,parameter,specific,measure,guideline,criteri,framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Inferential statistics is based on the notion of probability,inferential stat,,,,,,,,,,,,,,,,,,,,,,,,probabilit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Inferential statistics allows the analyst to study a population,inferential stat,,,,,,,,,,,,,,,,,,,,,,,,popu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Inferential statistics uses a sample,inferential stat,,,,,,,,,,,,,,,,,,,,,,,,sampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Inferential statistics provides non-parametric techniques,inferential stat,,,,,,,,,,,,,,,,,,,,,,,,nonparametric,non-parametric,non parametric,system,method,structur,formul,standard,proce,operation,cours,approach,technique,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Inferential statistics provides parametric techniques,inferential stat,,,,,,,,,,,,,,,,,,,,,,,,parametric,system,method,structur,formul,standard,proce,operation,cours,approach,technique,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Probability measures the likelihood of random variables,probabilit,,,,,,,,,,,,,,,,,,,,,,,,random variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Random variables are described by their probability distributions,random variable,,,,,,,,,,,,,,,,,,,,,,,,probability distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Random variables can follow the normal distribution,random variable,,,,,,,,,,,,,,,,,,,,,,,,normal distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Random variables can follow other distributions,random variable,,,,,,,,,,,,,,,,,,,,,,,,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Probability distributions are characterized by their expected value,probability distribution,,,,,,,,,,,,,,,,,,,,,,,,expected value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Probability distributions are characterized by their variance,probability distribution,,,,,,,,,,,,,,,,,,,,,,,,variance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Probability distributions include  the binomial distribution,probability distribution,,,,,,,,,,,,,,,,,,,,,,,,binomial distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Probability distributions include the normal distribution,probability distribution,,,,,,,,,,,,,,,,,,,,,,,,normal distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Probability distributions include other distributions,probability distribution,,,,,,,,,,,,,,,,,,,,,,,,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,The normal distribution can approximate the binomial distribution,normal distribution,,,,,,,,,,,,,,,,,,,,,,,,binomial distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,The normal distribution can approximate the sample distribution of the mean of x,normal distribution,,,,,,,,,,,,,,,,,,,,,,,,sample distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Decision Making,Non-parametric are used when populations do NOT follow the normal distribution,nonparametric,non-parametric,non parametric,,,,,,,,,,,,,,,,,,,,,,not,n't,,,,,,,,,,,,,,,,,,,,,,,,normal distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
